longitude,latitude,housingMedianAge,totalRooms,totalBedrooms,population,households,medianIncome,medianHouseValue
-118.71477693640226,37.464531829542516,17,5816,1204,13208,4523,12.06,647485
-116.60948951325621,35.24196818557586,33,2448,1175,1521,525,12.47,622194
-119.39229221250152,40.00076008310843,11,1048,359,13070,1339,3.69,208359
-119.10176239300478,37.97515357294169,28,6554,1365,7383,378,11.48,637887
-120.05748817568016,38.51142054914836,32,8895,1795,12204,4094,7.35,384361
-124.09479196748929,40.04837224198557,1,8270,2592,355,1889,4.73,288681
-123.26677007298721,36.2660821477537,47,9094,387,7348,1236,9.89,541225
-124.03445097570518,41.150997543710275,28,3825,2676,11119,4583,3.91,204241
-117.96043947091164,37.55580164078618,42,514,59,9129,3464,11.72,566704
-121.19386594999368,34.026354882880625,7,2576,98,3062,3586,2.14,140918
-119.24395026070638,39.088410701968435,2,9432,1560,2382,1823,14.45,773819
-115.23803260178202,40.004589307623974,42,4578,2720,8844,2113,2.47,142247
-121.84710601934529,35.520727381205425,24,8649,1394,8472,1894,9.32,520092
-120.22975545272227,40.60605680835827,4,774,780,12544,2608,13.68,685320
-116.7642665690278,41.066808027345864,44,9944,844,1577,1312,1.66,118638
-122.0528664184641,35.14567122622518,19,5785,1698,8862,3341,8.23,443004
-123.57712170531892,41.79493705825024,26,5692,182,5052,1068,6.23,339399
-121.44089541274576,33.864095478938815,11,9149,2180,5980,1839,9.33,476761
-122.73133827596979,34.44096743966743,40,3010,2154,10019,3574,4.54,229458
-115.01583557048056,34.27355573722983,50,8334,425,13435,3554,2.38,135382
-116.23647138917326,40.95244317117407,43,9496,2446,5692,856,9.95,511951
-117.99062628463535,38.696892917377895,11,5870,320,13811,2716,7.13,395203
-115.60053567451531,33.971301305121585,45,7915,1556,7191,454,9.9,521199
-116.2811323479329,36.68344336684616,3,6767,2208,691,643,4.34,271663
-122.4768366087842,38.32995441590684,12,3659,2966,6377,3999,6.07,285223
-115.38870765516063,33.325397039750094,3,6317,2984,12808,4157,9.08,479629
-118.93500389116687,40.84353802671306,42,4192,125,2360,3330,9.51,484141
-116.24330084215282,40.10190926850485,27,8037,2006,11239,2262,6.53,335125
-115.35324334876813,37.29399573935617,49,403,1716,14917,1592,5.28,266116
-121.15724511128248,41.6406614495888,2,2975,378,447,663,5.19,244561
-123.24507867774211,36.471130814978686,49,2192,2219,8457,918,3.86,208414
-122.0615309680789,41.80047810213345,16,2443,90,5132,861,5.89,321130
-120.06183780219239,38.82512718874213,2,8698,1240,4543,1872,4.19,258341
-116.13713175013817,38.51225668131959,30,1887,2739,11188,4912,10.06,520312
-115.70826494410632,34.101635564733336,20,4309,2376,12785,4227,9.18,501169
-124.28020060946685,40.8389402056467,38,2060,2860,8874,1794,6.66,342764
-119.22209708212124,36.56267796333299,28,5376,2566,6969,2306,5.9,305359
-120.15919352838625,34.06661634841313,25,922,2106,11798,4092,4.71,227930
-122.12003758287386,32.658636762971895,32,9171,62,5796,3717,8.73,470607
-123.14655171196982,37.80730098303718,10,8920,973,12695,571,13.91,719233
-120.96034367910757,37.502830444174386,42,5093,1892,3138,1575,10.76,579149
-114.8831865727183,39.309117586493784,40,543,1282,2945,1519,11.55,590753
-121.10504256251161,40.91732827889752,33,5598,1264,7964,2725,12.76,632689
-119.1413421576966,33.28721596149091,13,8600,702,11058,1563,6.25,338973
-117.29168965269241,39.42338197410281,41,4936,1753,6709,4926,2.35,120340
-120.69915879211189,34.30354639395825,42,3606,670,12486,1501,9.9,519376
-114.59330788948155,40.61544607020892,47,9703,2012,1365,4704,4.05,272545
-114.6870291587812,40.24738766543818,37,1119,1695,12545,3480,9.18,473558
-121.82210574991333,37.628869234413976,16,6019,2293,12941,3057,11.48,590071
-119.35762500084044,39.223384735045364,45,2244,466,13038,3174,12.08,608840
-121.32918176943963,35.49803456505907,22,618,713,11259,1803,5.57,253732
-121.49020143645022,36.97368992895779,20,1949,1828,2374,1662,8.42,404421
-123.97965504856049,40.27160320745554,50,7578,1429,2570,3325,9.88,548810
-118.22997408684184,36.86168550539995,43,1299,197,10582,605,12.56,663377
-119.30310260678223,35.90688167671241,27,3592,2095,2677,4301,11.78,592664
-123.8331533374501,37.190539128625325,41,2972,1438,3760,2099,14.84,757822
-121.55238949906442,40.33382546543423,16,6984,2461,1168,874,1.61,129830
-115.2310105048948,35.69430772575991,34,1745,1775,5691,2899,7.41,345948
-121.9447986177036,34.175096591407346,32,1270,451,14806,3080,4.96,233376
-122.89525548420411,39.24005193131265,26,6722,2703,6074,1131,3.12,229482
-119.43589428681327,40.31245498158305,25,2050,1565,11028,3375,13.81,681595
-114.45406944072957,33.486998672906445,2,5253,2081,4929,542,14.97,767528
-121.91976507402453,34.79721540103344,12,3139,278,2050,4814,3.94,200636
-117.60175910404497,33.875956423650955,40,7394,1648,8383,124,2.02,98074
-116.70333906209967,35.81412868298819,9,6051,2634,3193,3041,5.21,292409
-121.9641190583163,36.77780271149993,12,6873,317,10511,3410,12.77,672359
-117.03870785993693,39.58645583082472,26,878,1478,14015,420,5.47,281507
-120.65745734749869,38.667298773736555,9,1188,1866,5411,4732,2.27,117748
-118.00164946084047,38.38293781997204,10,9999,1084,13488,378,2.21,151297
-117.98936170396061,35.855848247596846,32,1702,1393,13692,4735,7.27,361664
-118.97082217188942,40.45802147452759,34,1989,175,1487,1840,14.08,703941
-123.44349070865374,36.97481224521673,48,5481,2403,4374,826,5.36,275631
-115.96356294428405,41.75337746672261,20,5227,1775,2385,2072,7.27,372958
-121.12936814768376,38.50727752136289,39,1625,1162,3306,4724,2.88,132686
-122.47735415558546,33.72815121812197,2,6854,2725,3024,4366,8.16,453738
-123.94061757879017,38.902830859129836,1,2640,1425,7145,1237,10.9,564322
-118.41743485039005,35.59922878521229,51,7056,738,8571,1553,5.16,293822
-117.54725380710349,38.99833892081618,36,7567,1330,13430,3341,5.51,352180
-124.18345819756432,33.195323204208236,24,9670,1282,1718,3375,12.87,673336
-119.20858569467522,34.18563432382578,27,2794,330,11079,237,1.64,118345
-122.0759824170127,40.59248760630345,2,4889,492,8662,1264,10.09,523744
-117.87246518428913,34.67775963159127,31,2636,1913,5996,3336,6.82,357323
-122.59936105278989,40.416556988536065,14,5717,886,11475,3496,5.53,318507
-117.41298510945124,35.167987992356004,2,9419,438,12126,1159,10.38,556544
-120.4671771231426,38.58951877365244,29,6510,666,7943,2571,12.77,649916
-114.94523091308318,39.071956896727514,15,3739,196,9995,4989,9.04,452859
-122.96928972077423,37.36408122709495,12,3683,570,10560,3929,1.92,72289
-120.9256938354554,35.41297346771624,37,7571,679,7163,580,7.73,436490
-123.21072584674448,34.540983581652014,28,2441,2531,8595,1120,7.75,411359
-115.06607607248323,32.85231182643243,20,6578,2241,12066,3186,8.84,506563
-115.54151289205495,35.40013563567521,39,2965,338,1448,1012,10.56,551123
-121.76026605773984,38.68626185889937,24,9565,1459,5656,1455,1.76,148929
-117.72376017781684,41.369448341600226,21,5111,63,14873,3187,8.28,437924
-116.14508910997979,40.73803417809532,10,603,306,5389,566,9.44,484312
-118.77578385154139,39.748669547197196,46,3582,1771,2522,3214,6.14,346701
-119.0323081933057,39.95928950001354,14,4363,1473,3728,1541,10.52,551444
-121.92180299935946,38.797507941709114,37,7830,1280,2528,3739,4.58,257725
-123.41524821122877,34.98929932969609,18,287,907,3133,4278,5.78,286030
-115.34195379014861,41.07670523894186,24,9550,1245,6257,4459,14.5,787787
-115.30980270608016,38.8515910550339,14,6016,513,8960,640,6.2,330254
-117.99366136897639,37.81374633752594,34,5670,319,8791,1593,6.18,355131
-120.94614089787105,33.58441090529885,12,6476,1294,7913,3106,9.54,547551
-120.84393587088888,36.746792667218465,22,5939,2720,1514,2256,14.61,778224
-117.0614049841428,36.871971332010126,6,4473,1256,13960,3389,14.77,775807
-115.34301299007613,40.67554356560833,36,9773,121,6808,2758,9.33,522317
-115.44365230037822,37.683959751967095,45,6723,1356,8821,4079,1.51,93577
-116.52004951958946,36.119569165811555,36,5203,2171,14394,797,13.66,691663
-117.90400227261095,41.731691091285306,22,8238,2452,6735,850,9.2,483637
-123.5052347514497,33.58188078320063,14,6806,1800,3721,1547,6.44,367124
-122.72724771049008,36.5161807104154,16,2264,546,11748,1429,12.69,638030
-115.32851594718812,32.93545219336292,36,5515,1037,5415,729,6.9,371995
-118.26145224101772,39.50249777641682,25,517,2677,854,3820,1.96,108958
-124.25766160176903,41.17910035619401,32,1702,959,2447,3392,12.58,620701
-123.33122570962503,35.175151271070106,33,6330,422,13202,946,8.87,465111
-117.68844223815512,40.61699517867973,45,7619,411,14982,1596,6.06,347552
-124.29918169818396,35.28977354864646,36,2242,2190,826,3176,4.89,249892
-122.73548716376831,41.11034722106925,20,4798,1394,13118,733,9.52,496040
-118.84071275475948,39.63478151284574,18,318,373,5023,1345,4.31,196436
-117.40337221516536,40.11417277007794,38,909,2481,2749,1435,5.87,294366
-117.80430895459389,32.70944168820028,3,3757,624,13719,992,10.09,556328
-122.09833613301598,41.60004546006659,23,3450,785,10338,3330,13.4,678322
-117.19972061767074,39.37797403538174,32,8261,2834,2915,1083,8.69,452864
-121.96801916153213,35.40770780758351,45,8809,2443,9166,2836,11.75,650707
-121.08298703048095,40.34460379632175,16,2803,1265,3379,2283,11.8,614482
-116.85522629261504,35.18911447708449,5,1301,1745,3084,3695,10.47,534257
-117.82768569356597,40.75261363031727,4,4621,1957,10470,1670,4.82,237732
-115.82379695863845,33.599381473776326,21,8057,768,3907,3585,13.2,676752
-117.74756656130455,39.16168504790609,40,8377,830,7976,3255,7.39,380638
-118.64418162251187,37.627972665228604,51,6282,1069,6199,2932,2.1,145040
-123.40950533100595,33.448389364539096,14,6858,1453,14065,4954,4.8,294687
-120.65813333728329,34.81622092391567,39,2461,1476,707,220,11.83,613110
-121.68736822847548,32.65672198136953,31,8221,713,6269,1603,2.43,201603
-121.90034398047399,36.951106555021,14,708,1822,7890,3947,3.49,169201
-114.58097403028545,35.374906103751606,6,2579,2697,5673,1645,10.87,549921
-120.40329884434573,38.17054392724191,12,9079,60,734,1673,13.55,725026
-115.39385258602178,35.33700777053809,16,4952,2284,13597,4172,10.06,523170
-118.01336819498748,35.36223883928073,17,9684,2823,12871,1141,4.5,283394
-116.37009451244185,39.53344800006439,45,5695,1088,11019,2887,2.22,126682
-119.30352358522387,32.993024086556304,23,3409,2875,1174,457,9.8,479150
-118.55788499835135,41.0362419047566,14,7598,2508,2014,4219,2.14,109203
-119.4051223540586,40.55980305802102,7,6943,634,14440,729,9.77,532825
-122.38976040250763,38.824042069160484,46,5848,1125,688,4994,4.55,246221
-117.0965807627745,38.12221497471049,32,5371,2674,3331,286,13.71,688964
-121.5310454810938,40.93656650749413,15,8090,1424,6451,2824,7.91,423568
-124.1058676970282,34.2839569893652,44,524,1501,10596,3487,4.52,267670
-117.86945814909204,33.283099816215696,17,3757,1904,13616,3407,13.02,647567
-122.57180877875322,34.79379069884875,41,3787,1839,3938,2927,4.93,279978
-114.90779581309674,40.01698160256879,47,351,792,2073,2473,5.64,292176
-114.77255708689403,32.86624720989621,44,1154,1826,14446,4764,12.76,670598
-115.1647615221867,38.02421231813564,34,4554,253,5144,3197,5.67,303808
-120.63360664943534,41.90706702736023,5,7360,1126,10347,1082,7.04,357593
-124.19481557005017,40.592100243011245,45,9583,1023,11772,2904,6.19,377265
-115.02968163161924,37.44680393390018,27,887,1448,10371,2990,3.07,152938
-120.05103115089416,33.138860956387305,23,8701,1915,6203,3751,2.03,170494
-114.64478561680156,40.363224770369534,40,9894,1349,6783,4120,11.28,629789
-114.6752554300239,38.17638776194755,14,3327,1104,5937,3182,10.21,547052
-115.78578506710771,33.62151950233052,15,6963,1208,11344,3510,5.31,347684
-121.39373312362136,33.42319705018778,43,3595,154,12774,4992,5.49,298114
-120.48361880483667,41.09958837089834,33,9205,302,9543,1973,14.26,787882
-115.80458781797076,38.83717447424732,31,1045,344,6883,683,14.83,738628
-121.16810306823096,40.34358878157067,35,1364,2765,14178,4153,7.89,412134
-122.64829282327163,40.811191451656136,17,6104,1231,5694,1442,12.33,636974
-118.75971532491816,37.92037783277471,28,5560,598,12087,3496,11.45,609884
-114.95100606742577,37.40917017001494,19,554,2728,3922,3148,5.51,285766
-117.36186084138328,36.59032193112052,46,2072,1827,12594,4994,2.29,83648
-118.62658585230278,35.52246739111443,23,2224,348,3489,111,3.42,169885
-123.37434800254148,36.62954799168048,32,3017,1798,6014,2519,12.82,660691
-118.17532744394033,39.82220756042077,40,4032,1893,1880,1867,11.37,543512
-114.4098593449532,38.20409948585239,13,8457,150,10896,682,10.47,563868
-122.94355648702529,40.9386441584751,20,2781,2429,3788,4937,3.26,197074
-119.14597029026808,36.712205935308155,35,9782,2933,14783,2648,10.14,581914
-115.54117435784333,38.252712935743475,5,9522,1824,13180,3501,11.92,627961
-116.91268307774779,38.48060407459562,9,2686,2490,14669,1350,13.12,696718
-117.35196196040751,38.107870297302526,29,9226,923,10016,2703,1.68,154292
-117.29705979676942,39.15178380473471,6,8618,2478,7311,1504,10.74,537132
-120.74070884175366,34.774248937406924,25,2643,141,13393,1188,1.76,103530
-121.40233788358448,37.36134314670589,31,9119,496,11076,3242,11.04,602123
-116.22401399899573,33.52075539442655,22,1236,158,5137,4670,10.08,540555
-116.21646151742102,36.158251593137685,2,8884,366,13553,2260,3.5,225147
-115.64459392145577,37.1289471157261,45,7635,1885,12011,4932,11.84,658049
-115.18106485233304,38.677430282322895,5,1748,1993,6419,3809,2.42,114124
-119.21612231543618,41.484497204836174,27,9535,1508,9969,3079,12.66,648714
-119.31477640134051,38.19212653622003,25,5265,491,8740,1410,5.04,265368
-116.33511640317357,39.53721875122143,8,6696,2315,12979,2476,10.8,605019
-117.82436213499123,37.30396361984986,1,6383,1295,181,4318,13.97,748933
-117.30225255233266,38.50691893525128,20,4157,2770,6378,113,6.09,371734
-116.36024159886155,33.207472153818806,44,3607,1601,7099,1395,8.29,403668
-115.41434636815164,34.93382477572178,23,839,327,1506,1024,7.75,412521
-120.95652862521058,35.94503760706036,32,372,618,7510,4211,3.63,198457
-120.57914715549497,36.98616247061129,11,5866,1059,1580,3678,9.47,497123
-123.40642132399768,32.96955469517743,39,4554,2972,14875,1672,11.53,614788
-118.54406738439842,33.85762675797672,47,4159,2563,9371,507,13.88,717594
-123.9891395710807,35.144822636316185,24,8908,888,3698,3380,12.99,703246
-119.6753958979501,41.68212262137889,11,8914,2851,8093,1790,8.39,477680
-118.90184786753593,35.657975336839705,29,3086,1657,12806,3076,11.21,595532
-121.47312582863202,37.0760063568347,26,2364,2935,4283,2004,12.31,629056
-118.41803406388713,34.38527947686828,16,4145,79,3780,329,8.16,464271
-124.04377749061194,38.28744046882298,35,5435,2456,10995,2441,3.06,175860
-123.97502418495789,35.18122905800532,20,7946,1992,7744,1090,7.41,447905
-116.09109037097703,34.4878001631056,46,2790,2183,4410,1011,12.87,634893
-120.73368596023091,37.40094843367666,3,7954,1307,12048,3895,9.55,497568
-123.07431245297508,32.59180957009956,1,5134,2844,1858,1267,11.28,571139
-119.10667766904976,32.61211854722921,47,4276,2410,2699,3270,4.0,240517
-116.61926472688995,34.60143749364848,1,5385,414,5716,424,14.52,736815
-122.18315688393169,32.88554802113273,17,1293,1850,5913,4180,6.96,384267
-118.09617962277724,33.5565223463698,2,4080,1872,10842,1442,10.32,525870
-123.49311145146257,35.728678710277656,29,6759,1912,3953,2126,1.75,129280
-123.83111551946718,40.092331244846044,20,2985,954,11038,824,3.22,188726
-119.0151994990558,37.922977734105125,6,6265,747,2392,4366,12.06,614010
-118.92202337903453,37.36420330124988,8,6739,2228,1601,3474,14.57,734379
-117.950203788958,35.301729826388424,29,1774,2900,12696,2173,5.82,305527
-117.06004300942448,41.3078024998628,48,5876,2886,8522,4639,2.0,123835
-114.55244512219616,36.275911538041974,51,8260,1905,7650,3643,6.37,369768
-119.166344503056,33.35954293554821,33,4190,400,4350,329,1.74,81036
-121.10751701166988,38.34659591666851,3,5410,229,9490,4891,4.1,224914
-116.36633060452222,33.61121928261482,35,5045,1553,7091,2861,11.66,604588
-121.63084419732877,35.788549773763926,5,9485,1236,214,2392,14.15,706175
-119.9427269361154,37.31474634333458,27,1389,1856,9705,1524,2.68,160854
-123.56229793132364,40.766433957287504,44,2889,823,4506,1907,9.03,450796
-124.0954785361088,37.18427332100052,12,4295,559,9284,2939,4.93,297958
-114.68500991663363,39.14825498835796,20,2075,414,2447,1109,3.38,165518
-115.95675959005746,41.88240645498125,45,7968,402,1141,1972,4.46,252413
-117.36241897081928,33.77731261824,20,3606,2897,7027,3849,9.3,458191
-120.24411243808073,35.125223655138676,9,4132,1156,111,4642,2.38,162592
-122.6101250264887,36.25296087137385,39,9999,1298,13815,2523,7.36,427078
-122.77937209158229,36.509403160050404,4,8440,461,8080,4189,3.33,236702
-121.83756130242746,36.40770831824879,51,5608,784,7971,1901,5.18,282893
-118.83576428635055,41.080619534057185,19,4061,167,6475,3591,4.08,223470
-117.17545693609138,39.25904718443312,38,7606,531,7198,4599,13.42,675389
-117.72161833775398,38.26038806459352,27,3033,241,3776,644,11.06,555684
-121.53946367466273,35.45119727508878,45,5485,2688,6209,556,13.22,691834
-114.76315258214153,40.291867515522384,43,9789,2687,13117,4939,6.68,390689
-116.94151495637449,41.52711941307375,13,7845,2756,5497,70,5.73,362203
-118.78428531278554,40.26747583879764,13,9223,156,13764,1449,6.64,341096
-118.2083237078071,32.55472763985176,22,4977,431,3165,3251,1.75,116974
-120.13721537322499,38.528536893425866,28,2935,832,2136,2511,11.28,571150
-121.86278086540838,33.02118393937017,47,8473,2487,3146,3728,6.22,354875
-120.77603430634133,34.96408394334032,45,8478,293,10642,386,5.73,330944
-116.74122505093773,33.10012743027253,22,6568,2682,640,1717,9.57,507516
-124.20548937415724,38.22171521225374,43,1021,2966,14905,3626,7.39,351942
-123.18463068931055,39.00081108596543,19,7725,517,11152,959,14.74,749249
-123.8881334741016,33.61732867420017,8,362,915,176,325,6.31,312011
-123.94108282471754,36.15192388945326,8,7977,1611,3167,941,9.79,500972
-115.76117573652948,36.833185549271654,42,2132,1283,123,62,5.71,293901
-117.28527509182456,36.01278893477023,26,3735,653,5234,4107,14.87,757107
-119.58929475596325,33.678845254565665,48,6156,1710,775,3075,7.51,357279
-123.36774502706395,36.48229870566414,51,3646,1146,6768,1023,10.06,559902
-119.414176613827,39.608585429877216,26,2990,2065,10686,4320,3.21,176995
-119.59634342136312,33.208182123257934,23,2907,1708,4367,4020,11.4,535787
-122.61105322610344,33.29449393251071,43,8159,1783,6088,1458,5.13,302237
-119.99412944165076,35.87839785617661,13,4133,1663,11690,1993,7.56,394597
-120.34901246665036,41.40163894633409,28,3585,909,11051,2338,13.42,662569
-118.16686501555574,38.83126860566262,9,6836,1929,7752,596,14.6,770366
-117.97365974528886,38.926284292288834,20,1122,1326,8780,1268,7.23,348266
-123.89514774188866,35.94566711378431,19,8289,62,1585,1470,12.77,683805
-120.58888934915022,38.12634804527235,48,9974,2396,14813,1504,2.22,146839
-118.06636644622907,32.63533444170106,39,764,1149,3759,3427,12.94,632708
-119.29851196385592,38.52566379671379,51,3458,1124,11527,2822,10.0,516979
-115.75084199446924,41.13403017669239,12,2700,836,2519,4148,8.1,386058
-117.73671593854579,38.304316337124746,15,4766,198,7840,2788,13.51,697679
-122.71413835210244,40.76150376451831,31,9379,1804,7243,3797,12.91,705540
-123.64148977609968,39.35258645193594,14,7081,2219,3595,1892,5.51,336317
-117.9001104468086,33.67445469835872,11,3836,1353,856,796,12.19,650451
-124.0838264421621,41.03208562155977,26,6230,2635,10816,2866,2.84,200216
-118.46881316401442,33.165236575387844,42,423,1229,14817,921,12.61,623520
-114.91008837609343,37.56463391667446,27,6497,2473,12542,544,10.62,542992
-118.57223925412617,33.877510334896435,11,550,131,8548,3494,2.69,153557
-120.45277394088652,32.650159206977804,38,7514,541,1879,4773,10.72,563232
-117.89138628683878,36.511342387801086,34,2128,2453,13061,1125,9.34,477765
-119.74914097946517,35.31633305902561,43,7943,2075,10407,4044,9.53,531152
-118.87200743526802,37.11326464663544,19,8740,974,6587,4287,5.43,355621
-114.89769331988369,37.971450934172125,6,4932,1346,11640,95,5.1,290236
-120.47352951648023,32.951584670427195,46,1217,1653,13060,3106,11.79,599687
-114.6996467392079,33.69746100711445,38,2426,1646,14826,2107,4.97,238207
-115.26027955476113,37.796824950598506,49,7406,172,9764,713,7.52,436417
-122.38425700671546,35.76920479335472,42,7370,757,358,4718,10.88,589022
-123.65361253921333,39.401522517840306,28,6407,2427,4175,2079,2.57,153592
-123.33818886617063,38.678064413250155,1,2619,1040,8598,2746,9.53,480586
-124.16705287045843,40.497137055735024,35,6440,2420,8114,689,9.46,497062
